sk_produto,codigo_produto,ean,nome_produto,marca,departamento,categoria,subcategoria,unidade_medida,peso_liquido_g,produto_marca_propria,perecivel,fornecedor_padrao_sk,preco_lista,custo_unitario,margem_base_pct,ativo,ativo_flag
402,PRD000402,7890000000402,Macarrão Econômico 402,Marca M,Bebidas,Pães,Diet,UN,296.0,0,0,402,185.4,126.07,27.0,1,True
403,PRD000403,7890000000403,Leite Natural 403,Marca N,Higiene,Utilidades,Light,KG,369.0,0,0,403,169.7,106.91,34.0,1,True
404,PRD000404,7890000000404,Refrigerante Suave 404,Marca Própria,Limpeza,Animais,Zero,G,442.0,0,0,404,54.2,35.77,41.0,1,True
405,PRD000405,7890000000405,Sabonete Extra 405,Marca A,Laticínios,Doces,Tradicional,L,515.0,0,1,405,97.5,69.23,48.0,1,True
406,PRD000406,7890000000406,Detergente Max 406,Marca B,Açougue,Cereais,Orgânico,ML,588.0,0,1,406,366.6,289.61,22.0,1,True
407,PRD000407,7890000000407,Shampoo Fresh 407,Marca C,Padaria,Perfumaria,Sem Glúten,CX,661.0,1,1,407,66.9,39.47,29.0,1,True
408,PRD000408,7890000000408,Iogurte Plus 408,Marca D,Bazar,Grãos,Sem Lactose,UN,734.0,0,0,408,378.8,280.31,36.0,1,True
409,PRD000409,7890000000409,Queijo Caseiro 409,Marca E,Pet,Sucos,Kids,KG,807.0,0,0,409,115.7,87.93,43.0,1,True
410,PRD000410,7890000000410,Pão Artesanal 410,Marca F,Mercearia,Banho,Família,G,880.0,0,0,410,86.0,61.92,50.0,1,True
411,PRD000411,7890000000411,Biscoito Fortificado 411,Marca G,Mercearia,Casa,Refil,L,953.0,0,0,411,87.3,62.86,24.0,1,True
412,PRD000412,7890000000412,Café Kids 412,Marca H,Bebidas,Frios,Concentrado,ML,1026.0,0,0,412,202.4,137.63,31.0,1,True
413,PRD000413,7890000000413,Açúcar Original 413,Marca I,Higiene,Carnes,Mini,CX,1099.0,0,0,413,188.7,118.88,38.0,1,True
414,PRD000414,7890000000414,Farinha Tradicional 414,Marca J,Limpeza,Pães,Grande,UN,1172.0,0,1,414,77.2,50.95,45.0,1,True
415,PRD000415,7890000000415,Óleo Premium 415,Marca K,Laticínios,Utilidades,Econômico,KG,1245.0,0,1,415,126.5,89.82,19.0,1,True
416,PRD000416,7890000000416,Água Integral 416,Marca L,Açougue,Animais,Standard,G,1318.0,0,1,416,397.6,314.1,26.0,1,True
417,PRD000417,7890000000417,Chocolate Light 417,Marca M,Padaria,Doces,Premium,L,1391.0,0,0,417,103.9,61.3,33.0,1,True
418,PRD000418,7890000000418,Ração Zero 418,Marca N,Bazar,Cereais,Diet,ML,1464.0,1,0,418,419.8,310.65,40.0,1,True
419,PRD000419,7890000000419,Absorvente Família 419,Marca Própria,Pet,Perfumaria,Light,CX,1537.0,0,0,419,158.7,120.61,47.0,1,True
420,PRD000420,7890000000420,Arroz Econômico 420,Marca A,Mercearia,Grãos,Zero,UN,1610.0,0,0,420,99.0,71.28,21.0,1,True
421,PRD000421,7890000000421,Feijão Natural 421,Marca B,Mercearia,Sucos,Tradicional,KG,1683.0,0,0,421,100.3,72.22,28.0,1,True
422,PRD000422,7890000000422,Macarrão Suave 422,Marca C,Bebidas,Banho,Orgânico,G,1756.0,0,0,422,219.4,149.19,35.0,1,True
423,PRD000423,7890000000423,Leite Extra 423,Marca D,Higiene,Casa,Sem Glúten,L,1829.0,0,1,423,207.7,130.85,42.0,1,True
424,PRD000424,7890000000424,Refrigerante Max 424,Marca E,Limpeza,Frios,Sem Lactose,ML,1902.0,0,1,424,100.2,66.13,49.0,1,True
425,PRD000425,7890000000425,Sabonete Fresh 425,Marca F,Laticínios,Carnes,Kids,CX,1975.0,0,1,425,155.5,110.41,23.0,1,True
426,PRD000426,7890000000426,Detergente Plus 426,Marca G,Açougue,Pães,Família,UN,2048.0,0,0,426,428.6,338.59,30.0,1,True
427,PRD000427,7890000000427,Shampoo Caseiro 427,Marca H,Padaria,Utilidades,Refil,KG,2121.0,0,0,427,20.9,12.33,37.0,1,True
428,PRD000428,7890000000428,Iogurte Artesanal 428,Marca I,Bazar,Animais,Concentrado,G,2194.0,0,0,428,460.8,340.99,44.0,1,True
429,PRD000429,7890000000429,Queijo Fortificado 429,Marca J,Pet,Doces,Mini,L,2267.0,1,0,429,201.7,153.29,18.0,1,True
430,PRD000430,7890000000430,Pão Kids 430,Marca K,Mercearia,Cereais,Grande,ML,2340.0,0,0,430,112.0,80.64,25.0,1,True
431,PRD000431,7890000000431,Biscoito Original 431,Marca L,Mercearia,Perfumaria,Econômico,CX,2413.0,0,0,431,113.3,81.58,32.0,1,True
432,PRD000432,7890000000432,Café Tradicional 432,Marca M,Bebidas,Grãos,Standard,UN,2486.0,0,1,432,236.4,160.75,39.0,1,True
433,PRD000433,7890000000433,Açúcar Premium 433,Marca N,Higiene,Sucos,Premium,KG,2559.0,0,1,433,226.7,142.82,46.0,1,True
434,PRD000434,7890000000434,Farinha Integral 434,Marca Própria,Limpeza,Banho,Diet,G,2632.0,0,1,434,123.2,81.31,20.0,1,True
435,PRD000435,7890000000435,Óleo Light 435,Marca A,Laticínios,Casa,Light,L,2705.0,0,0,435,4.5,3.2,27.0,1,True
436,PRD000436,7890000000436,Água Zero 436,Marca B,Açougue,Frios,Zero,ML,2778.0,0,0,436,9.6,7.58,34.0,1,True
437,PRD000437,7890000000437,Chocolate Família 437,Marca C,Padaria,Carnes,Tradicional,CX,2851.0,0,0,437,57.9,34.16,41.0,1,True
438,PRD000438,7890000000438,Ração Econômico 438,Marca D,Bazar,Pães,Orgânico,UN,2924.0,0,0,438,501.8,371.33,48.0,1,True
439,PRD000439,7890000000439,Absorvente Natural 439,Marca E,Pet,Utilidades,Sem Glúten,KG,2997.0,0,0,439,244.7,185.97,22.0,1,True
440,PRD000440,7890000000440,Arroz Suave 440,Marca F,Mercearia,Animais,Sem Lactose,G,3070.0,1,0,440,125.0,90.0,29.0,1,True
441,PRD000441,7890000000441,Feijão Extra 441,Marca G,Mercearia,Doces,Kids,L,3143.0,0,1,441,126.3,90.94,36.0,1,True
442,PRD000442,7890000000442,Macarrão Max 442,Marca H,Bebidas,Cereais,Família,ML,3216.0,0,1,442,3.4,2.31,43.0,1,True
443,PRD000443,7890000000443,Leite Fresh 443,Marca I,Higiene,Perfumaria,Refil,CX,3289.0,0,1,443,245.7,154.79,50.0,1,True
444,PRD000444,7890000000444,Refrigerante Plus 444,Marca J,Limpeza,Grãos,Concentrado,UN,3362.0,0,0,444,146.2,96.49,24.0,1,True
445,PRD000445,7890000000445,Sabonete Caseiro 445,Marca K,Laticínios,Sucos,Mini,KG,3435.0,0,0,445,33.5,23.79,31.0,1,True
446,PRD000446,7890000000446,Detergente Artesanal 446,Marca L,Açougue,Banho,Grande,G,3508.0,0,0,446,40.6,32.07,38.0,1,True
447,PRD000447,7890000000447,Shampoo Fortificado 447,Marca M,Padaria,Casa,Econômico,L,3581.0,0,0,447,94.9,55.99,45.0,1,True
448,PRD000448,7890000000448,Iogurte Kids 448,Marca N,Bazar,Frios,Standard,ML,3654.0,0,0,448,542.8,401.67,19.0,1,True
449,PRD000449,7890000000449,Queijo Original 449,Marca Própria,Pet,Carnes,Premium,CX,3727.0,0,0,449,287.7,218.65,26.0,1,True
450,PRD000450,7890000000450,Pão Tradicional 450,Marca A,Mercearia,Pães,Diet,UN,3800.0,0,1,450,138.0,99.36,33.0,1,True
451,PRD000451,7890000000451,Biscoito Premium 451,Marca B,Mercearia,Utilidades,Light,KG,3873.0,1,1,451,139.3,100.3,40.0,1,True
452,PRD000452,7890000000452,Café Integral 452,Marca C,Bebidas,Animais,Zero,G,3946.0,0,1,452,20.4,13.87,47.0,1,True
453,PRD000453,7890000000453,Açúcar Light 453,Marca D,Higiene,Doces,Tradicional,L,4019.0,0,0,453,264.7,166.76,21.0,1,True
454,PRD000454,7890000000454,Farinha Zero 454,Marca E,Limpeza,Cereais,Orgânico,ML,4092.0,0,0,454,169.2,111.67,28.0,1,True
455,PRD000455,7890000000455,Óleo Família 455,Marca F,Laticínios,Perfumaria,Sem Glúten,CX,4165.0,0,0,455,62.5,44.38,35.0,1,True
456,PRD000456,7890000000456,Água Econômico 456,Marca G,Açougue,Grãos,Sem Lactose,UN,4238.0,0,0,456,71.6,56.56,42.0,1,True
457,PRD000457,7890000000457,Chocolate Natural 457,Marca H,Padaria,Sucos,Kids,KG,4311.0,0,0,457,11.9,7.02,49.0,1,True
458,PRD000458,7890000000458,Ração Suave 458,Marca I,Bazar,Banho,Família,G,4384.0,0,0,458,583.8,432.01,23.0,1,True
459,PRD000459,7890000000459,Absorvente Extra 459,Marca J,Pet,Casa,Refil,L,4457.0,0,1,459,330.7,251.33,30.0,1,True
460,PRD000460,7890000000460,Arroz Max 460,Marca K,Mercearia,Frios,Concentrado,ML,4530.0,0,1,460,151.0,108.72,37.0,1,True
461,PRD000461,7890000000461,Feijão Fresh 461,Marca L,Mercearia,Carnes,Mini,CX,4603.0,0,1,461,152.3,109.66,44.0,1,True
462,PRD000462,7890000000462,Macarrão Plus 462,Marca M,Bebidas,Pães,Grande,UN,4676.0,1,0,462,37.4,25.43,18.0,1,True
463,PRD000463,7890000000463,Leite Caseiro 463,Marca N,Higiene,Utilidades,Econômico,KG,4749.0,0,0,463,283.7,178.73,25.0,1,True
464,PRD000464,7890000000464,Refrigerante Artesanal 464,Marca Própria,Limpeza,Animais,Standard,G,4822.0,0,0,464,192.2,126.85,32.0,1,True
465,PRD000465,7890000000465,Sabonete Fortificado 465,Marca A,Laticínios,Doces,Premium,L,4895.0,0,0,465,91.5,64.97,39.0,1,True
466,PRD000466,7890000000466,Detergente Kids 466,Marca B,Açougue,Cereais,Diet,ML,118.0,0,0,466,102.6,81.05,46.0,1,True
467,PRD000467,7890000000467,Shampoo Original 467,Marca C,Padaria,Perfumaria,Light,CX,191.0,0,0,467,48.9,28.85,20.0,1,True
468,PRD000468,7890000000468,Iogurte Tradicional 468,Marca D,Bazar,Grãos,Zero,UN,264.0,0,1,468,624.8,462.35,27.0,1,True
469,PRD000469,7890000000469,Queijo Premium 469,Marca E,Pet,Sucos,Tradicional,KG,337.0,0,1,469,373.7,284.01,34.0,1,True
470,PRD000470,7890000000470,Pão Integral 470,Marca F,Mercearia,Banho,Orgânico,G,410.0,0,1,470,14.0,10.08,41.0,1,True
471,PRD000471,7890000000471,Biscoito Light 471,Marca G,Mercearia,Casa,Sem Glúten,L,483.0,0,0,471,15.3,11.02,48.0,1,True
472,PRD000472,7890000000472,Café Zero 472,Marca H,Bebidas,Frios,Sem Lactose,ML,556.0,0,0,472,54.4,36.99,22.0,1,True
473,PRD000473,7890000000473,Açúcar Família 473,Marca I,Higiene,Carnes,Kids,CX,629.0,1,0,473,302.7,190.7,29.0,1,True
474,PRD000474,7890000000474,Farinha Econômico 474,Marca J,Limpeza,Pães,Família,UN,702.0,0,0,474,215.2,142.03,36.0,1,True
475,PRD000475,7890000000475,Óleo Natural 475,Marca K,Laticínios,Utilidades,Refil,KG,775.0,0,0,475,120.5,85.56,43.0,1,True
476,PRD000476,7890000000476,Água Suave 476,Marca L,Açougue,Animais,Concentrado,G,848.0,0,0,476,133.6,105.54,50.0,1,True
477,PRD000477,7890000000477,Chocolate Extra 477,Marca M,Padaria,Doces,Mini,L,921.0,0,1,477,85.9,50.68,24.0,1,True
478,PRD000478,7890000000478,Ração Max 478,Marca N,Bazar,Cereais,Grande,ML,994.0,0,1,478,15.8,11.69,31.0,1,True
479,PRD000479,7890000000479,Absorvente Fresh 479,Marca Própria,Pet,Perfumaria,Econômico,CX,1067.0,0,1,479,416.7,316.69,38.0,1,True
480,PRD000480,7890000000480,Arroz Plus 480,Marca A,Mercearia,Grãos,Standard,UN,1140.0,0,0,480,27.0,19.44,45.0,1,True
481,PRD000481,7890000000481,Feijão Caseiro 481,Marca B,Mercearia,Sucos,Premium,KG,1213.0,0,0,481,28.3,20.38,19.0,1,True
482,PRD000482,7890000000482,Macarrão Artesanal 482,Marca C,Bebidas,Banho,Diet,G,1286.0,0,0,482,71.4,48.55,26.0,1,True
483,PRD000483,7890000000483,Leite Fortificado 483,Marca D,Higiene,Casa,Light,L,1359.0,0,0,483,21.7,13.67,33.0,1,True
484,PRD000484,7890000000484,Refrigerante Kids 484,Marca E,Limpeza,Frios,Zero,ML,1432.0,1,0,484,18.2,12.01,40.0,1,True
485,PRD000485,7890000000485,Sabonete Original 485,Marca F,Laticínios,Carnes,Tradicional,CX,1505.0,0,0,485,149.5,106.15,47.0,0,0
486,PRD000486,7890000000486,Detergente Tradicional 486,Marca G,Açougue,Pães,Orgânico,UN,1578.0,0,1,486,164.6,130.03,21.0,1,True
487,PRD000487,7890000000487,Shampoo Premium 487,Marca H,Padaria,Utilidades,Sem Glúten,KG,1651.0,0,1,487,2.9,1.71,28.0,1,True
488,PRD000488,7890000000488,Iogurte Integral 488,Marca I,Bazar,Animais,Sem Lactose,G,1724.0,0,1,488,56.8,42.03,35.0,1,True
489,PRD000489,7890000000489,Queijo Light 489,Marca J,Pet,Doces,Kids,L,1797.0,0,0,489,459.7,349.37,42.0,1,True
490,PRD000490,7890000000490,Pão Zero 490,Marca K,Mercearia,Cereais,Família,ML,1870.0,0,0,490,40.0,28.8,49.0,1,True
491,PRD000491,7890000000491,Biscoito Família 491,Marca L,Mercearia,Perfumaria,Refil,CX,1943.0,0,0,491,41.3,29.74,23.0,1,True
492,PRD000492,7890000000492,Café Econômico 492,Marca M,Bebidas,Grãos,Concentrado,UN,2016.0,0,0,492,88.4,60.11,30.0,1,True
493,PRD000493,7890000000493,Açúcar Natural 493,Marca N,Higiene,Sucos,Mini,KG,2089.0,0,0,493,40.7,25.64,37.0,1,True
494,PRD000494,7890000000494,Farinha Suave 494,Marca Própria,Limpeza,Banho,Grande,G,2162.0,0,0,494,41.2,27.19,44.0,1,True
495,PRD000495,7890000000495,Óleo Extra 495,Marca A,Laticínios,Casa,Econômico,L,2235.0,1,1,495,178.5,126.74,18.0,1,True
496,PRD000496,7890000000496,Água Max 496,Marca B,Açougue,Frios,Standard,ML,2308.0,0,1,496,195.6,154.52,25.0,1,True
497,PRD000497,7890000000497,Chocolate Fresh 497,Marca C,Padaria,Carnes,Premium,CX,2381.0,0,1,497,39.9,23.54,32.0,1,True
498,PRD000498,7890000000498,Ração Plus 498,Marca D,Bazar,Pães,Diet,UN,2454.0,0,0,498,97.8,72.37,39.0,1,True
499,PRD000499,7890000000499,Absorvente Caseiro 499,Marca E,Pet,Utilidades,Light,KG,2527.0,0,0,499,502.7,382.05,46.0,1,True
500,PRD000500,7890000000500,Arroz Artesanal 500,Marca F,Mercearia,Animais,Zero,G,2600.0,0,0,500,53.0,38.16,20.0,1,True
501,PRD000501,7890000000501,Feijão Fortificado 501,Marca G,Mercearia,Doces,Tradicional,L,2673.0,0,0,501,54.3,39.1,27.0,1,True
502,PRD000502,7890000000502,Macarrão Kids 502,Marca H,Bebidas,Cereais,Orgânico,ML,2746.0,0,0,502,105.4,71.67,34.0,1,True
503,PRD000503,7890000000503,Leite Original 503,Marca I,Higiene,Perfumaria,Sem Glúten,CX,2819.0,0,0,503,59.7,37.61,41.0,1,True
504,PRD000504,7890000000504,Refrigerante Tradicional 504,Marca J,Limpeza,Grãos,Sem Lactose,UN,2892.0,0,1,504,64.2,42.37,48.0,1,True
505,PRD000505,7890000000505,Sabonete Premium 505,Marca K,Laticínios,Sucos,Kids,KG,2965.0,0,1,505,27.5,19.53,22.0,1,True
506,PRD000506,7890000000506,Detergente Integral 506,Marca L,Açougue,Banho,Família,G,3038.0,1,1,506,226.6,179.01,29.0,1,True
507,PRD000507,7890000000507,Shampoo Light 507,Marca M,Padaria,Casa,Refil,L,3111.0,0,0,507,76.9,45.37,36.0,1,True
508,PRD000508,7890000000508,Iogurte Zero 508,Marca N,Bazar,Frios,Concentrado,ML,3184.0,0,0,508,138.8,102.71,43.0,1,True
509,PRD000509,7890000000509,Queijo Família 509,Marca Própria,Pet,Carnes,Mini,CX,3257.0,0,0,509,545.7,414.73,50.0,1,True
510,PRD000510,7890000000510,Pão Econômico 510,Marca A,Mercearia,Pães,Grande,UN,3330.0,0,0,510,66.0,47.52,24.0,1,True
511,PRD000511,7890000000511,Biscoito Natural 511,Marca B,Mercearia,Utilidades,Econômico,KG,3403.0,0,0,511,67.3,48.46,31.0,1,True
512,PRD000512,7890000000512,Café Suave 512,Marca C,Bebidas,Animais,Standard,G,3476.0,0,0,512,122.4,83.23,38.0,1,True
513,PRD000513,7890000000513,Açúcar Extra 513,Marca D,Higiene,Doces,Premium,L,3549.0,0,1,513,78.7,49.58,45.0,1,True
514,PRD000514,7890000000514,Farinha Max 514,Marca E,Limpeza,Cereais,Diet,ML,3622.0,0,1,514,87.2,57.55,19.0,1,True
515,PRD000515,7890000000515,Óleo Fresh 515,Marca F,Laticínios,Perfumaria,Light,CX,3695.0,0,1,515,56.5,40.12,26.0,1,True
516,PRD000516,7890000000516,Água Plus 516,Marca G,Açougue,Grãos,Zero,UN,3768.0,0,0,516,257.6,203.5,33.0,1,True
517,PRD000517,7890000000517,Chocolate Caseiro 517,Marca H,Padaria,Sucos,Tradicional,KG,3841.0,1,0,517,113.9,67.2,40.0,1,True
518,PRD000518,7890000000518,Ração Artesanal 518,Marca I,Bazar,Banho,Orgânico,G,3914.0,0,0,518,179.8,133.05,47.0,1,True
519,PRD000519,7890000000519,Absorvente Fortificado 519,Marca J,Pet,Casa,Sem Glúten,L,3987.0,0,0,519,38.7,29.41,21.0,1,True
520,PRD000520,7890000000520,Arroz Kids 520,Marca K,Mercearia,Frios,Sem Lactose,ML,4060.0,0,0,520,79.0,56.88,28.0,1,True
521,PRD000521,7890000000521,Feijão Original 521,Marca L,Mercearia,Carnes,Kids,CX,4133.0,0,0,521,80.3,57.82,35.0,1,True
522,PRD000522,7890000000522,Macarrão Tradicional 522,Marca M,Bebidas,Pães,Família,UN,4206.0,0,1,522,139.4,94.79,42.0,1,True
523,PRD000523,7890000000523,Leite Premium 523,Marca N,Higiene,Utilidades,Refil,KG,4279.0,0,1,523,97.7,61.55,49.0,1,True
524,PRD000524,7890000000524,Refrigerante Integral 524,Marca Própria,Limpeza,Animais,Concentrado,G,4352.0,0,1,524,110.2,72.73,23.0,1,True
525,PRD000525,7890000000525,Sabonete Light 525,Marca A,Laticínios,Doces,Mini,L,4425.0,0,0,525,85.5,60.71,30.0,1,True
526,PRD000526,7890000000526,Detergente Zero 526,Marca B,Açougue,Cereais,Grande,ML,4498.0,0,0,526,288.6,227.99,37.0,1,True
527,PRD000527,7890000000527,Shampoo Família 527,Marca C,Padaria,Perfumaria,Econômico,CX,4571.0,0,0,527,30.9,18.23,44.0,1,True
528,PRD000528,7890000000528,Iogurte Econômico 528,Marca D,Bazar,Grãos,Standard,UN,4644.0,1,0,528,220.8,163.39,18.0,1,True
529,PRD000529,7890000000529,Queijo Natural 529,Marca E,Pet,Sucos,Premium,KG,4717.0,0,0,529,81.7,62.09,25.0,1,True
530,PRD000530,7890000000530,Pão Suave 530,Marca F,Mercearia,Banho,Diet,G,4790.0,0,0,530,92.0,66.24,32.0,1,True
531,PRD000531,7890000000531,Biscoito Extra 531,Marca G,Mercearia,Casa,Light,L,4863.0,0,1,531,93.3,67.18,39.0,1,True
532,PRD000532,7890000000532,Café Max 532,Marca H,Bebidas,Frios,Zero,ML,86.0,0,1,532,156.4,106.35,46.0,1,True
533,PRD000533,7890000000533,Açúcar Fresh 533,Marca I,Higiene,Carnes,Tradicional,CX,159.0,0,1,533,116.7,73.52,20.0,1,True
534,PRD000534,7890000000534,Farinha Plus 534,Marca J,Limpeza,Pães,Orgânico,UN,232.0,0,0,534,133.2,87.91,27.0,1,True
535,PRD000535,7890000000535,Óleo Caseiro 535,Marca K,Laticínios,Utilidades,Sem Glúten,KG,305.0,0,0,535,114.5,81.3,34.0,1,True
536,PRD000536,7890000000536,Água Artesanal 536,Marca L,Açougue,Animais,Sem Lactose,G,378.0,0,0,536,319.6,252.48,41.0,1,True
537,PRD000537,7890000000537,Chocolate Fortificado 537,Marca M,Padaria,Doces,Kids,L,451.0,0,0,537,67.9,40.06,48.0,1,True
538,PRD000538,7890000000538,Ração Kids 538,Marca N,Bazar,Cereais,Família,ML,524.0,0,0,538,261.8,193.73,22.0,1,True
539,PRD000539,7890000000539,Absorvente Original 539,Marca Própria,Pet,Perfumaria,Refil,CX,597.0,1,0,539,124.7,94.77,29.0,1,True
540,PRD000540,7890000000540,Arroz Tradicional 540,Marca A,Mercearia,Grãos,Concentrado,UN,670.0,0,1,540,105.0,75.6,36.0,1,True
541,PRD000541,7890000000541,Feijão Premium 541,Marca B,Mercearia,Sucos,Mini,KG,743.0,0,1,541,106.3,76.54,43.0,1,True
542,PRD000542,7890000000542,Macarrão Integral 542,Marca C,Bebidas,Banho,Grande,G,816.0,0,1,542,173.4,117.91,50.0,1,True
543,PRD000543,7890000000543,Leite Light 543,Marca D,Higiene,Casa,Econômico,L,889.0,0,0,543,135.7,85.49,24.0,1,True
544,PRD000544,7890000000544,Refrigerante Zero 544,Marca E,Limpeza,Frios,Standard,ML,962.0,0,0,544,156.2,103.09,31.0,1,True
545,PRD000545,7890000000545,Sabonete Família 545,Marca F,Laticínios,Carnes,Premium,CX,1035.0,0,0,545,143.5,101.89,38.0,1,True
546,PRD000546,7890000000546,Detergente Econômico 546,Marca G,Açougue,Pães,Diet,UN,1108.0,0,0,546,350.6,276.97,45.0,1,True
547,PRD000547,7890000000547,Shampoo Natural 547,Marca H,Padaria,Utilidades,Light,KG,1181.0,0,0,547,104.9,61.89,19.0,1,True
548,PRD000548,7890000000548,Iogurte Suave 548,Marca I,Bazar,Animais,Zero,G,1254.0,0,0,548,302.8,224.07,26.0,1,True
549,PRD000549,7890000000549,Queijo Extra 549,Marca J,Pet,Doces,Tradicional,L,1327.0,0,1,549,167.7,127.45,33.0,1,True
550,PRD000550,7890000000550,Pão Max 550,Marca K,Mercearia,Cereais,Orgânico,ML,1400.0,1,1,550,118.0,84.96,40.0,1,True
551,PRD000551,7890000000551,Biscoito Fresh 551,Marca L,Mercearia,Perfumaria,Sem Glúten,CX,1473.0,0,1,551,119.3,85.9,47.0,1,True
552,PRD000552,7890000000552,Café Plus 552,Marca M,Bebidas,Grãos,Sem Lactose,UN,1546.0,0,0,552,190.4,129.47,21.0,1,True
553,PRD000553,7890000000553,Açúcar Caseiro 553,Marca N,Higiene,Sucos,Kids,KG,1619.0,0,0,553,154.7,97.46,28.0,1,True
554,PRD000554,7890000000554,Farinha Artesanal 554,Marca Própria,Limpeza,Banho,Família,G,1692.0,0,0,554,179.2,118.27,35.0,1,True
555,PRD000555,7890000000555,Óleo Fortificado 555,Marca A,Laticínios,Casa,Refil,L,1765.0,0,0,555,172.5,122.48,42.0,1,True
556,PRD000556,7890000000556,Água Kids 556,Marca B,Açougue,Frios,Concentrado,ML,1838.0,0,0,556,381.6,301.46,49.0,1,True
557,PRD000557,7890000000557,Chocolate Original 557,Marca C,Padaria,Carnes,Mini,CX,1911.0,0,0,557,21.9,12.92,23.0,1,True
558,PRD000558,7890000000558,Ração Tradicional 558,Marca D,Bazar,Pães,Grande,UN,1984.0,0,1,558,343.8,254.41,30.0,1,True
559,PRD000559,7890000000559,Absorvente Premium 559,Marca E,Pet,Utilidades,Econômico,KG,2057.0,0,1,559,210.7,160.13,37.0,1,True
560,PRD000560,7890000000560,Arroz Integral 560,Marca F,Mercearia,Animais,Standard,G,2130.0,0,1,560,131.0,94.32,44.0,1,True
561,PRD000561,7890000000561,Feijão Light 561,Marca G,Mercearia,Doces,Premium,L,2203.0,1,0,561,132.3,95.26,18.0,1,True
562,PRD000562,7890000000562,Macarrão Zero 562,Marca H,Bebidas,Cereais,Diet,ML,2276.0,0,0,562,207.4,141.03,25.0,1,True
563,PRD000563,7890000000563,Leite Família 563,Marca I,Higiene,Perfumaria,Light,CX,2349.0,0,0,563,173.7,109.43,32.0,1,True
564,PRD000564,7890000000564,Refrigerante Econômico 564,Marca J,Limpeza,Grãos,Zero,UN,2422.0,0,0,564,202.2,133.45,39.0,1,True
565,PRD000565,7890000000565,Sabonete Natural 565,Marca K,Laticínios,Sucos,Tradicional,KG,2495.0,0,0,565,21.5,15.27,46.0,1,True
566,PRD000566,7890000000566,Detergente Suave 566,Marca L,Açougue,Banho,Orgânico,G,2568.0,0,0,566,412.6,325.95,20.0,1,True
567,PRD000567,7890000000567,Shampoo Extra 567,Marca M,Padaria,Casa,Sem Glúten,L,2641.0,0,1,567,58.9,34.75,27.0,1,True
568,PRD000568,7890000000568,Iogurte Max 568,Marca N,Bazar,Frios,Sem Lactose,ML,2714.0,0,1,568,384.8,284.75,34.0,1,True
569,PRD000569,7890000000569,Queijo Fresh 569,Marca Própria,Pet,Carnes,Kids,CX,2787.0,0,1,569,253.7,192.81,41.0,1,True
570,PRD000570,7890000000570,Pão Plus 570,Marca A,Mercearia,Pães,Família,UN,2860.0,0,0,570,144.0,103.68,48.0,1,True
571,PRD000571,7890000000571,Biscoito Caseiro 571,Marca B,Mercearia,Utilidades,Refil,KG,2933.0,0,0,571,145.3,104.62,22.0,1,True
572,PRD000572,7890000000572,Café Artesanal 572,Marca C,Bebidas,Animais,Concentrado,G,3006.0,1,0,572,224.4,152.59,29.0,1,True
573,PRD000573,7890000000573,Açúcar Fortificado 573,Marca D,Higiene,Doces,Mini,L,3079.0,0,0,573,192.7,121.4,36.0,1,True
574,PRD000574,7890000000574,Farinha Kids 574,Marca E,Limpeza,Cereais,Grande,ML,3152.0,0,0,574,5.2,3.43,43.0,1,True
575,PRD000575,7890000000575,Óleo Original 575,Marca F,Laticínios,Perfumaria,Econômico,CX,3225.0,0,0,575,50.5,35.86,50.0,1,True
576,PRD000576,7890000000576,Água Tradicional 576,Marca G,Açougue,Grãos,Standard,UN,3298.0,0,1,576,443.6,350.44,24.0,1,True
577,PRD000577,7890000000577,Chocolate Premium 577,Marca H,Padaria,Sucos,Premium,KG,3371.0,0,1,577,95.9,56.58,31.0,1,True
578,PRD000578,7890000000578,Ração Integral 578,Marca I,Bazar,Banho,Diet,G,3444.0,0,1,578,425.8,315.09,38.0,1,True
579,PRD000579,7890000000579,Absorvente Light 579,Marca J,Pet,Casa,Light,L,3517.0,0,0,579,296.7,225.49,45.0,1,True
580,PRD000580,7890000000580,Arroz Zero 580,Marca K,Mercearia,Frios,Zero,ML,3590.0,0,0,580,7.0,5.04,19.0,1,True
581,PRD000581,7890000000581,Feijão Família 581,Marca L,Mercearia,Carnes,Tradicional,CX,3663.0,0,0,581,8.3,5.98,26.0,1,True
582,PRD000582,7890000000582,Macarrão Econômico 582,Marca M,Bebidas,Pães,Orgânico,UN,3736.0,0,0,582,241.4,164.15,33.0,0,0
583,PRD000583,7890000000583,Leite Natural 583,Marca N,Higiene,Utilidades,Sem Glúten,KG,3809.0,1,0,583,211.7,133.37,40.0,1,True
584,PRD000584,7890000000584,Refrigerante Suave 584,Marca Própria,Limpeza,Animais,Sem Lactose,G,3882.0,0,0,584,28.2,18.61,47.0,1,True
585,PRD000585,7890000000585,Sabonete Extra 585,Marca A,Laticínios,Doces,Kids,L,3955.0,0,1,585,79.5,56.45,21.0,1,True
586,PRD000586,7890000000586,Detergente Max 586,Marca B,Açougue,Cereais,Família,ML,4028.0,0,1,586,24.6,19.43,28.0,1,True
587,PRD000587,7890000000587,Shampoo Fresh 587,Marca C,Padaria,Perfumaria,Refil,CX,4101.0,0,1,587,12.9,7.61,35.0,1,True
588,PRD000588,7890000000588,Iogurte Plus 588,Marca D,Bazar,Grãos,Concentrado,UN,4174.0,0,0,588,466.8,345.43,42.0,1,True
