sk_estoque,sk_tempo,sk_loja,sk_produto,estoque_inicial,entrada,saida,perda,ruptura,estoque_final,cobertura_dias
8938,511,66,2567,338,94,106,2,0,324,3.06
8939,514,71,2574,349,107,123,3,0,330,2.68
8940,517,76,2581,360,120,140,4,0,336,2.4
8941,520,81,2588,21,133,157,5,1,0,0.0
8942,523,1,2595,32,146,14,6,0,158,11.29
8943,526,6,2602,43,159,31,7,0,164,5.29
8944,529,11,2609,54,172,48,0,0,178,3.71
8945,532,16,2616,65,5,65,1,0,4,0.06
8946,535,21,2623,76,18,82,2,0,10,0.12
8947,538,26,2630,87,31,99,3,0,16,0.16
8948,541,31,2637,98,44,116,4,0,22,0.19
8949,544,36,2644,109,57,133,5,0,28,0.21
8950,547,41,2651,120,70,150,6,0,34,0.23
8951,550,46,2658,131,83,7,7,0,200,28.57
8952,553,51,2665,142,96,24,0,0,214,8.92
8953,556,56,2672,153,109,41,1,0,220,5.37
8954,559,61,2679,164,122,58,2,0,226,3.9
8955,562,66,2686,175,135,75,3,0,232,3.09
8956,565,71,2693,186,148,92,4,0,238,2.59
8957,568,76,2700,197,161,109,5,0,244,2.24
8958,571,81,2707,208,174,126,6,0,250,1.98
8959,574,1,2714,219,7,143,7,0,76,0.53
8960,577,6,2721,230,20,0,0,0,250,250.0
8961,580,11,2728,241,33,17,1,0,256,15.06
8962,583,16,2735,252,46,34,2,0,262,7.71
8963,586,21,2742,263,59,51,3,0,268,5.25
8964,589,26,2749,274,72,68,4,0,274,4.03
8965,592,31,2756,285,85,85,5,0,280,3.29
8966,595,36,2763,296,98,102,6,0,286,2.8
8967,598,41,2770,307,111,119,7,0,292,2.45
8968,601,46,2777,318,124,136,0,0,306,2.25
8969,604,51,2784,329,137,153,1,0,312,2.04
8970,607,56,2791,340,150,10,2,0,478,47.8
8971,610,61,2798,351,163,27,3,0,484,17.93
8972,613,66,2805,362,176,44,4,0,490,11.14
8973,616,71,2812,23,9,61,5,1,0,0.0
8974,619,76,2819,34,22,78,6,1,0,0.0
8975,622,81,2826,45,35,95,7,1,0,0.0
8976,625,1,2833,56,48,112,0,1,0,0.0
8977,628,6,2840,67,61,129,1,1,0,0.0
8978,631,11,2847,78,74,146,2,0,4,0.03
8979,634,16,2854,89,87,3,3,0,170,56.67
8980,637,21,2861,100,100,20,4,0,176,8.8
8981,640,26,2868,111,113,37,5,0,182,4.92
8982,643,31,2875,122,126,54,6,0,188,3.48
8983,646,36,2882,133,139,71,7,0,194,2.73
8984,649,41,2889,144,152,88,0,0,208,2.36
8985,652,46,2896,155,165,105,1,0,214,2.04
8986,655,51,2903,166,178,122,2,0,220,1.8
8987,658,56,2910,177,11,139,3,0,46,0.33
8988,661,61,2917,188,24,156,4,0,52,0.33
8989,664,66,2924,199,37,13,5,0,218,16.77
8990,667,71,2931,210,50,30,6,0,224,7.47
8991,670,76,2938,221,63,47,7,0,230,4.89
8992,673,81,2945,232,76,64,0,0,244,3.81
8993,676,1,2952,243,89,81,1,0,250,3.09
8994,679,6,2959,254,102,98,2,0,256,2.61
8995,682,11,2966,265,115,115,3,0,262,2.28
8996,685,16,2973,276,128,132,4,0,268,2.03
8997,688,21,2980,287,141,149,5,0,274,1.84
8998,691,26,2987,298,154,6,6,0,440,73.33
8999,694,31,2994,309,167,23,7,0,446,19.39
9000,697,36,3001,320,0,40,0,0,280,7.0
9001,700,41,3008,331,13,57,1,0,286,5.02
9002,703,46,3015,342,26,74,2,0,292,3.95
9003,706,51,3022,353,39,91,3,0,298,3.27
9004,709,56,3029,364,52,108,4,0,304,2.81
9005,712,61,3036,25,65,125,5,1,0,0.0
9006,715,66,3043,36,78,142,6,1,0,0.0
9007,718,71,3050,47,91,159,7,1,0,0.0
9008,721,76,3057,58,104,16,0,0,146,9.13
9009,724,81,3064,69,117,33,1,0,152,4.61
9010,727,1,3071,80,130,50,2,0,158,3.16
9011,730,6,3078,91,143,67,3,0,164,2.45
9012,733,11,3085,102,156,84,4,0,170,2.02
9013,736,16,3092,113,169,101,5,0,176,1.74
9014,739,21,3099,124,2,118,6,0,2,0.02
9015,742,26,3106,135,15,135,7,0,8,0.06
9016,745,31,3113,146,28,152,0,0,22,0.14
9017,748,36,3120,157,41,9,1,0,188,20.89
9018,751,41,3127,168,54,26,2,0,194,7.46
9019,754,46,3134,179,67,43,3,0,200,4.65
9020,757,51,3141,190,80,60,4,0,206,3.43
9021,760,56,3148,201,93,77,5,0,212,2.75
9022,763,61,3155,212,106,94,6,0,218,2.32
9023,766,66,3162,223,119,111,7,0,224,2.02
9024,769,71,3169,234,132,128,0,0,238,1.86
9025,772,76,3176,245,145,145,1,0,244,1.68
9026,775,81,3183,256,158,2,2,0,410,205.0
9027,778,1,3190,267,171,19,3,0,416,21.89
9028,781,6,3197,278,4,36,4,0,242,6.72
9029,784,11,3204,289,17,53,5,0,248,4.68
9030,787,16,3211,300,30,70,6,0,254,3.63
9031,790,21,3218,311,43,87,7,0,260,2.99
9032,793,26,3225,322,56,104,0,0,274,2.63
9033,796,31,3232,333,69,121,1,0,280,2.31
9034,799,36,3239,344,82,138,2,0,286,2.07
9035,802,41,3246,355,95,155,3,0,292,1.88
9036,805,46,3253,366,108,12,4,0,458,38.17
9037,808,51,3260,27,121,29,5,0,114,3.93
9038,811,56,3267,38,134,46,6,0,120,2.61
9039,814,61,3274,49,147,63,7,0,126,2.0
9040,817,66,3281,60,160,80,0,0,140,1.75
9041,820,71,3288,71,173,97,1,0,146,1.51
9042,823,76,3295,82,6,114,2,1,0,0.0
9043,826,81,3302,93,19,131,3,1,0,0.0
9044,829,1,3309,104,32,148,4,1,0,0.0
9045,832,6,3316,115,45,5,5,0,150,30.0
9046,835,11,3323,126,58,22,6,0,156,7.09
9047,838,16,3330,137,71,39,7,0,162,4.15
9048,841,21,3337,148,84,56,0,0,176,3.14
9049,844,26,3344,159,97,73,1,0,182,2.49
9050,847,31,3351,170,110,90,2,0,188,2.09
9051,850,36,3358,181,123,107,3,0,194,1.81
9052,853,41,3365,192,136,124,4,0,200,1.61
9053,856,46,3372,203,149,141,5,0,206,1.46
9054,859,51,3379,214,162,158,6,0,212,1.34
9055,862,56,3386,225,175,15,7,0,378,25.2
9056,865,61,3393,236,8,32,0,0,212,6.63
9057,868,66,3400,247,21,49,1,0,218,4.45
9058,871,71,3407,258,34,66,2,0,224,3.39
9059,874,76,3414,269,47,83,3,0,230,2.77
9060,877,81,3421,280,60,100,4,0,236,2.36
9061,880,1,3428,291,73,117,5,0,242,2.07
9062,883,6,3435,302,86,134,6,0,248,1.85
9063,886,11,3442,313,99,151,7,0,254,1.68
9064,889,16,3449,324,112,8,0,0,428,53.5
9065,892,21,3456,335,125,25,1,0,434,17.36
9066,895,26,3463,346,138,42,2,0,440,10.48
9067,898,31,3470,357,151,59,3,0,446,7.56
9068,901,36,3477,368,164,76,4,0,452,5.95
9069,904,41,3484,29,177,93,5,0,108,1.16
9070,907,46,3491,40,10,110,6,1,0,0.0
9071,910,51,3498,51,23,127,7,1,0,0.0
9072,913,56,3505,62,36,144,0,1,0,0.0
9073,916,61,3512,73,49,1,1,0,120,120.0
9074,919,66,3519,84,62,18,2,0,126,7.0
9075,922,71,3526,95,75,35,3,0,132,3.77
9076,925,76,3533,106,88,52,4,0,138,2.65
9077,928,81,3540,117,101,69,5,0,144,2.09
9078,931,1,3547,128,114,86,6,0,150,1.74
9079,934,6,3554,139,127,103,7,0,156,1.51
9080,937,11,3561,150,140,120,0,0,170,1.42
9081,940,16,3568,161,153,137,1,0,176,1.28
9082,943,21,3575,172,166,154,2,0,182,1.18
9083,946,26,3582,183,179,11,3,0,348,31.64
9084,949,31,3589,194,12,28,4,0,174,6.21
9085,952,36,3596,205,25,45,5,0,180,4.0
9086,955,41,3603,216,38,62,6,0,186,3.0
9087,958,46,3610,227,51,79,7,0,192,2.43
9088,961,51,3617,238,64,96,0,0,206,2.15
9089,964,56,3624,249,77,113,1,0,212,1.88
9090,967,61,3631,260,90,130,2,0,218,1.68
9091,970,66,3638,271,103,147,3,0,224,1.52
9092,973,71,3645,282,116,4,4,0,390,97.5
9093,976,76,3652,293,129,21,5,0,396,18.86
9094,979,81,3659,304,142,38,6,0,402,10.58
9095,982,1,3666,315,155,55,7,0,408,7.42
9096,985,6,3673,326,168,72,0,0,422,5.86
9097,988,11,3680,337,1,89,1,0,248,2.79
9098,991,16,3687,348,14,106,2,0,254,2.4
9099,994,21,3694,359,27,123,3,0,260,2.11
9100,997,26,3701,20,40,140,4,1,0,0.0
9101,1000,31,3708,31,53,157,5,1,0,0.0
9102,1003,36,3715,42,66,14,6,0,88,6.29
9103,1006,41,3722,53,79,31,7,0,94,3.03
9104,1009,46,3729,64,92,48,0,0,108,2.25
9105,1012,51,3736,75,105,65,1,0,114,1.75
9106,1015,56,3743,86,118,82,2,0,120,1.46
9107,1018,61,3750,97,131,99,3,0,126,1.27
9108,1021,66,3757,108,144,116,4,0,132,1.14
9109,1024,71,3764,119,157,133,5,0,138,1.04
9110,1027,76,3771,130,170,150,6,0,144,0.96
9111,1030,81,3778,141,3,7,7,0,130,18.57
9112,1033,1,3785,152,16,24,0,0,144,6.0
9113,1036,6,3792,163,29,41,1,0,150,3.66
9114,1039,11,3799,174,42,58,2,0,156,2.69
9115,1042,16,3806,185,55,75,3,0,162,2.16
9116,1045,21,3813,196,68,92,4,0,168,1.83
9117,1048,26,3820,207,81,109,5,0,174,1.6
9118,1051,31,3827,218,94,126,6,0,180,1.43
9119,1054,36,3834,229,107,143,7,0,186,1.3
9120,1057,41,3841,240,120,0,0,0,360,360.0
9121,1060,46,3848,251,133,17,1,0,366,21.53
9122,1063,51,3855,262,146,34,2,0,372,10.94
9123,1066,56,3862,273,159,51,3,0,378,7.41
9124,1069,61,3869,284,172,68,4,0,384,5.65
9125,1072,66,3876,295,5,85,5,0,210,2.47
9126,1075,71,3883,306,18,102,6,0,216,2.12
9127,1078,76,3890,317,31,119,7,0,222,1.87
9128,1081,81,3897,328,44,136,0,0,236,1.74
9129,1084,1,3904,339,57,153,1,0,242,1.58
9130,1087,6,3911,350,70,10,2,0,408,40.8
9131,1090,11,3918,361,83,27,3,0,414,15.33
9132,1093,16,3925,22,96,44,4,0,70,1.59
9133,1096,21,3932,33,109,61,5,0,76,1.25
9134,3,26,3939,44,122,78,6,0,82,1.05
9135,6,31,3946,55,135,95,7,0,88,0.93
9136,9,36,3953,66,148,112,0,0,102,0.91
9137,12,41,3960,77,161,129,1,0,108,0.84
9138,15,46,3967,88,174,146,2,0,114,0.78
9139,18,51,3974,99,7,3,3,0,100,33.33
9140,21,56,3981,110,20,20,4,0,106,5.3
9141,24,61,3988,121,33,37,5,0,112,3.03
9142,27,66,3995,132,46,54,6,0,118,2.19
9143,30,71,4002,143,59,71,7,0,124,1.75
9144,33,76,4009,154,72,88,0,0,138,1.57
9145,36,81,4016,165,85,105,1,0,144,1.37
9146,39,1,4023,176,98,122,2,0,150,1.23
9147,42,6,4030,187,111,139,3,0,156,1.12
9148,45,11,4037,198,124,156,4,0,162,1.04
9149,48,16,4044,209,137,13,5,0,328,25.23
9150,51,21,4051,220,150,30,6,0,334,11.13
9151,54,26,4058,231,163,47,7,0,340,7.23
9152,57,31,4065,242,176,64,0,0,354,5.53
9153,60,36,4072,253,9,81,1,0,180,2.22
9154,63,41,4079,264,22,98,2,0,186,1.9
9155,66,46,4086,275,35,115,3,0,192,1.67
9156,69,51,4093,286,48,132,4,0,198,1.5
9157,72,56,4100,297,61,149,5,0,204,1.37
9158,75,61,4107,308,74,6,6,0,370,61.67
9159,78,66,4114,319,87,23,7,0,376,16.35
9160,81,71,4121,330,100,40,0,0,390,9.75
9161,84,76,4128,341,113,57,1,0,396,6.95
9162,87,81,4135,352,126,74,2,0,402,5.43
9163,90,1,4142,363,139,91,3,0,408,4.48
9164,93,6,4149,24,152,108,4,0,64,0.59
9165,96,11,4156,35,165,125,5,0,70,0.56
9166,99,16,4163,46,178,142,6,0,76,0.54
9167,102,21,4170,57,11,159,7,1,0,0.0
9168,105,26,4177,68,24,16,0,0,76,4.75
9169,108,31,4184,79,37,33,1,0,82,2.48
9170,111,36,4191,90,50,50,2,0,88,1.76
9171,114,41,4198,101,63,67,3,0,94,1.4
9172,117,46,4205,112,76,84,4,0,100,1.19
9173,120,51,4212,123,89,101,5,0,106,1.05
9174,123,56,4219,134,102,118,6,0,112,0.95
9175,126,61,4226,145,115,135,7,0,118,0.87
9176,129,66,4233,156,128,152,0,0,132,0.87
9177,132,71,4240,167,141,9,1,0,298,33.11
9178,135,76,4247,178,154,26,2,0,304,11.69
9179,138,81,4254,189,167,43,3,0,310,7.21
9180,141,1,4261,200,0,60,4,0,136,2.27
9181,144,6,4268,211,13,77,5,0,142,1.84
9182,147,11,4275,222,26,94,6,0,148,1.57
9183,150,16,4282,233,39,111,7,0,154,1.39
9184,153,21,4289,244,52,128,0,0,168,1.31
9185,156,26,4296,255,65,145,1,0,174,1.2
9186,159,31,4303,266,78,2,2,0,340,170.0
9187,162,36,4310,277,91,19,3,0,346,18.21
9188,165,41,4317,288,104,36,4,0,352,9.78
9189,168,46,4324,299,117,53,5,0,358,6.75
9190,171,51,4331,310,130,70,6,0,364,5.2
9191,174,56,4338,321,143,87,7,0,370,4.25
9192,177,61,4345,332,156,104,0,0,384,3.69
9193,180,66,4352,343,169,121,1,0,390,3.22
9194,183,71,4359,354,2,138,2,0,216,1.57
9195,186,76,4366,365,15,155,3,0,222,1.43
9196,189,81,4373,26,28,12,4,0,38,3.17
9197,192,1,4380,37,41,29,5,0,44,1.52
9198,195,6,4387,48,54,46,6,0,50,1.09
9199,198,11,4394,59,67,63,7,0,56,0.89
9200,201,16,4401,70,80,80,0,0,70,0.88
9201,204,21,4408,81,93,97,1,0,76,0.78
9202,207,26,4415,92,106,114,2,0,82,0.72
9203,210,31,4422,103,119,131,3,0,88,0.67
9204,213,36,4429,114,132,148,4,0,94,0.64
9205,216,41,4436,125,145,5,5,0,260,52.0
9206,219,46,4443,136,158,22,6,0,266,12.09
9207,222,51,4450,147,171,39,7,0,272,6.97
9208,225,56,4457,158,4,56,0,0,106,1.89
9209,228,61,4464,169,17,73,1,0,112,1.53
9210,231,66,4471,180,30,90,2,0,118,1.31
9211,234,71,4478,191,43,107,3,0,124,1.16
9212,237,76,4485,202,56,124,4,0,130,1.05
9213,240,81,4492,213,69,141,5,0,136,0.96
9214,243,1,4499,224,82,158,6,0,142,0.9
9215,246,6,4506,235,95,15,7,0,308,20.53
9216,249,11,4513,246,108,32,0,0,322,10.06
9217,252,16,4520,257,121,49,1,0,328,6.69
9218,255,21,4527,268,134,66,2,0,334,5.06
9219,258,26,4534,279,147,83,3,0,340,4.1
9220,261,31,4541,290,160,100,4,0,346,3.46
9221,264,36,4548,301,173,117,5,0,352,3.01
9222,267,41,4555,312,6,134,6,0,178,1.33
9223,270,46,4562,323,19,151,7,0,184,1.22
9224,273,51,4569,334,32,8,0,0,358,44.75
9225,276,56,4576,345,45,25,1,0,364,14.56
9226,279,61,4583,356,58,42,2,0,370,8.81
9227,282,66,4590,367,71,59,3,0,376,6.37
9228,285,71,4597,28,84,76,4,0,32,0.42
9229,288,76,4604,39,97,93,5,0,38,0.41
9230,291,81,4611,50,110,110,6,0,44,0.4
9231,294,1,4618,61,123,127,7,0,50,0.39
9232,297,6,4625,72,136,144,0,0,64,0.44
9233,300,11,4632,83,149,1,1,0,230,230.0
9234,303,16,4639,94,162,18,2,0,236,13.11
9235,306,21,4646,105,175,35,3,0,242,6.91
9236,309,26,4653,116,8,52,4,0,68,1.31
9237,312,31,4660,127,21,69,5,0,74,1.07
9238,315,36,4667,138,34,86,6,0,80,0.93
9239,318,41,4674,149,47,103,7,0,86,0.83
9240,321,46,4681,160,60,120,0,0,100,0.83
9241,324,51,4688,171,73,137,1,0,106,0.77
9242,327,56,4695,182,86,154,2,0,112,0.73
9243,330,61,4702,193,99,11,3,0,278,25.27
9244,333,66,4709,204,112,28,4,0,284,10.14
9245,336,71,4716,215,125,45,5,0,290,6.44
9246,339,76,4723,226,138,62,6,0,296,4.77
9247,342,81,4730,237,151,79,7,0,302,3.82
9248,345,1,4737,248,164,96,0,0,316,3.29
9249,348,6,4744,259,177,113,1,0,322,2.85
9250,351,11,4751,270,10,130,2,0,148,1.14
9251,354,16,4758,281,23,147,3,0,154,1.05
9252,357,21,4765,292,36,4,4,0,320,80.0
9253,360,26,4772,303,49,21,5,0,326,15.52
9254,363,31,4779,314,62,38,6,0,332,8.74
9255,366,36,4786,325,75,55,7,0,338,6.15
9256,369,41,4793,336,88,72,0,0,352,4.89
9257,372,46,4800,347,101,89,1,0,358,4.02
9258,375,51,4807,358,114,106,2,0,364,3.43
9259,378,56,4814,369,127,123,3,0,370,3.01
9260,381,61,4821,30,140,140,4,0,26,0.19
9261,384,66,4828,41,153,157,5,0,32,0.2
9262,387,71,4835,52,166,14,6,0,198,14.14
9263,390,76,4842,63,179,31,7,0,204,6.58
9264,393,81,4849,74,12,48,0,0,38,0.79
9265,396,1,4856,85,25,65,1,0,44,0.68
9266,399,6,4863,96,38,82,2,0,50,0.61
9267,402,11,4870,107,51,99,3,0,56,0.57
9268,405,16,4877,118,64,116,4,0,62,0.53
9269,408,21,4884,129,77,133,5,0,68,0.51
9270,411,26,4891,140,90,150,6,0,74,0.49
9271,414,31,4898,151,103,7,7,0,240,34.29
9272,417,36,4905,162,116,24,0,0,254,10.58
9273,420,41,4912,173,129,41,1,0,260,6.34
9274,423,46,4919,184,142,58,2,0,266,4.59
9275,426,51,4926,195,155,75,3,0,272,3.63
9276,429,56,4933,206,168,92,4,0,278,3.02
9277,432,61,4940,217,1,109,5,0,104,0.95
9278,435,66,4947,228,14,126,6,0,110,0.87
9279,438,71,4954,239,27,143,7,0,116,0.81
9280,441,76,4961,250,40,0,0,0,290,290.0
9281,444,81,4968,261,53,17,1,0,296,17.41
9282,447,1,4975,272,66,34,2,0,302,8.88
9283,450,6,4982,283,79,51,3,0,308,6.04
9284,453,11,4989,294,92,68,4,0,314,4.62
9285,456,16,4996,305,105,85,5,0,320,3.76
9286,459,21,5003,316,118,102,6,0,326,3.2
9287,462,26,5010,327,131,119,7,0,332,2.79
9288,465,31,5017,338,144,136,0,0,346,2.54
9289,468,36,5024,349,157,153,1,0,352,2.3
9290,471,41,5031,360,170,10,2,0,518,51.8
9291,474,46,5038,21,3,27,3,1,0,0.0
9292,477,51,5045,32,16,44,4,1,0,0.0
9293,480,56,5052,43,29,61,5,0,6,0.1
9294,483,61,5059,54,42,78,6,0,12,0.15
9295,486,66,5066,65,55,95,7,0,18,0.19
9296,489,71,5073,76,68,112,0,0,32,0.29
9297,492,76,5080,87,81,129,1,0,38,0.29
9298,495,81,5087,98,94,146,2,0,44,0.3
9299,498,1,5094,109,107,3,3,0,210,70.0
9300,501,6,5101,120,120,20,4,0,216,10.8
9301,504,11,5108,131,133,37,5,0,222,6.0
9302,507,16,5115,142,146,54,6,0,228,4.22
9303,510,21,5122,153,159,71,7,0,234,3.3
9304,513,26,5129,164,172,88,0,0,248,2.82
9305,516,31,5136,175,5,105,1,0,74,0.7
9306,519,36,5143,186,18,122,2,0,80,0.66
9307,522,41,5150,197,31,139,3,0,86,0.62
9308,525,46,5157,208,44,156,4,0,92,0.59
9309,528,51,5164,219,57,13,5,0,258,19.85
9310,531,56,5171,230,70,30,6,0,264,8.8
9311,534,61,5178,241,83,47,7,0,270,5.74
9312,537,66,5185,252,96,64,0,0,284,4.44
9313,540,71,5192,263,109,81,1,0,290,3.58
9314,543,76,5199,274,122,98,2,0,296,3.02
9315,546,81,5206,285,135,115,3,0,302,2.63
9316,549,1,5213,296,148,132,4,0,308,2.33
9317,552,6,5220,307,161,149,5,0,314,2.11
9318,555,11,5227,318,174,6,6,0,480,80.0
9319,558,16,5234,329,7,23,7,0,306,13.3
9320,561,21,5241,340,20,40,0,0,320,8.0
9321,564,26,5248,351,33,57,1,0,326,5.72
9322,567,31,5255,362,46,74,2,0,332,4.49
9323,570,36,5262,23,59,91,3,1,0,0.0
9324,573,41,5269,34,72,108,4,1,0,0.0
9325,576,46,5276,45,85,125,5,1,0,0.0
9326,579,51,5283,56,98,142,6,0,6,0.04
9327,582,56,5290,67,111,159,7,0,12,0.08
9328,585,61,5297,78,124,16,0,0,186,11.63
9329,588,66,5304,89,137,33,1,0,192,5.82
9330,591,71,5311,100,150,50,2,0,198,3.96
9331,594,76,5318,111,163,67,3,0,204,3.04
9332,597,81,5325,122,176,84,4,0,210,2.5
9333,600,1,5332,133,9,101,5,0,36,0.36
9334,603,6,5339,144,22,118,6,0,42,0.36
9335,606,11,5346,155,35,135,7,0,48,0.36
9336,609,16,5353,166,48,152,0,0,62,0.41
9337,612,21,5360,177,61,9,1,0,228,25.33
9338,615,26,5367,188,74,26,2,0,234,9.0
9339,618,31,5374,199,87,43,3,0,240,5.58
9340,621,36,5381,210,100,60,4,0,246,4.1
9341,624,41,5388,221,113,77,5,0,252,3.27
9342,627,46,5395,232,126,94,6,0,258,2.74
9343,630,51,5402,243,139,111,7,0,264,2.38
9344,633,56,5409,254,152,128,0,0,278,2.17
9345,636,61,5416,265,165,145,1,0,284,1.96
9346,639,66,5423,276,178,2,2,0,450,225.0
9347,642,71,5430,287,11,19,3,0,276,14.53
9348,645,76,5437,298,24,36,4,0,282,7.83
9349,648,81,5444,309,37,53,5,0,288,5.43
9350,651,1,5451,320,50,70,6,0,294,4.2
9351,654,6,5458,331,63,87,7,0,300,3.45
9352,657,11,5465,342,76,104,0,0,314,3.02
9353,660,16,5472,353,89,121,1,0,320,2.64
9354,663,21,5479,364,102,138,2,0,326,2.36
9355,666,26,5486,25,115,155,3,1,0,0.0
9356,669,31,5493,36,128,12,4,0,148,12.33
9357,672,36,5500,47,141,29,5,0,154,5.31
9358,675,41,5507,58,154,46,6,0,160,3.48
9359,678,46,5514,69,167,63,7,0,166,2.63
9360,681,51,5521,80,0,80,0,1,0,0.0
9361,684,56,5528,91,13,97,1,0,6,0.06
9362,687,61,5535,102,26,114,2,0,12,0.11
9363,690,66,5542,113,39,131,3,0,18,0.14
9364,693,71,5549,124,52,148,4,0,24,0.16
9365,696,76,5556,135,65,5,5,0,190,38.0
9366,699,81,5563,146,78,22,6,0,196,8.91
9367,702,1,5570,157,91,39,7,0,202,5.18
9368,705,6,5577,168,104,56,0,0,216,3.86
9369,708,11,5584,179,117,73,1,0,222,3.04
9370,711,16,5591,190,130,90,2,0,228,2.53
9371,714,21,5598,201,143,107,3,0,234,2.19
9372,717,26,5605,212,156,124,4,0,240,1.94
9373,720,31,5612,223,169,141,5,0,246,1.74
9374,723,36,5619,234,2,158,6,0,72,0.46
9375,726,41,5626,245,15,15,7,0,238,15.87
9376,729,46,5633,256,28,32,0,0,252,7.88
9377,732,51,5640,267,41,49,1,0,258,5.27
9378,735,56,5647,278,54,66,2,0,264,4.0
9379,738,61,5654,289,67,83,3,0,270,3.25
9380,741,66,5661,300,80,100,4,0,276,2.76
9381,744,71,5668,311,93,117,5,0,282,2.41
9382,747,76,5675,322,106,134,6,0,288,2.15
9383,750,81,5682,333,119,151,7,0,294,1.95
9384,753,1,5689,344,132,8,0,0,468,58.5
9385,756,6,5696,355,145,25,1,0,474,18.96
9386,759,11,5703,366,158,42,2,0,480,11.43
9387,762,16,5710,27,171,59,3,0,136,2.31
9388,765,21,5717,38,4,76,4,1,0,0.0
9389,768,26,5724,49,17,93,5,1,0,0.0
9390,771,31,5731,60,30,110,6,1,0,0.0
9391,774,36,5738,71,43,127,7,1,0,0.0
9392,777,41,5745,82,56,144,0,1,0,0.0
9393,780,46,5752,93,69,1,1,0,160,160.0
9394,783,51,5759,104,82,18,2,0,166,9.22
9395,786,56,5766,115,95,35,3,0,172,4.91
9396,789,61,5773,126,108,52,4,0,178,3.42
9397,792,66,5780,137,121,69,5,0,184,2.67
9398,795,71,5787,148,134,86,6,0,190,2.21
9399,798,76,5794,159,147,103,7,0,196,1.9
9400,801,81,5801,170,160,120,0,0,210,1.75
9401,804,1,5808,181,173,137,1,0,216,1.58
9402,807,6,5815,192,6,154,2,0,42,0.27
9403,810,11,5822,203,19,11,3,0,208,18.91
9404,813,16,5829,214,32,28,4,0,214,7.64
9405,816,21,5836,225,45,45,5,0,220,4.89
9406,819,26,5843,236,58,62,6,0,226,3.65
9407,822,31,5850,247,71,79,7,0,232,2.94
9408,825,36,5857,258,84,96,0,0,246,2.56
9409,828,41,5864,269,97,113,1,0,252,2.23
9410,831,46,5871,280,110,130,2,0,258,1.98
9411,834,51,5878,291,123,147,3,0,264,1.8
9412,837,56,5885,302,136,4,4,0,430,107.5
9413,840,61,5892,313,149,21,5,0,436,20.76
9414,843,66,5899,324,162,38,6,0,442,11.63
9415,846,71,5906,335,175,55,7,0,448,8.15
9416,849,76,5913,346,8,72,0,0,282,3.92
9417,852,81,5920,357,21,89,1,0,288,3.24
9418,855,1,5927,368,34,106,2,0,294,2.77
9419,858,6,5934,29,47,123,3,1,0,0.0
9420,861,11,5941,40,60,140,4,1,0,0.0
9421,864,16,5948,51,73,157,5,1,0,0.0
9422,867,21,5955,62,86,14,6,0,128,9.14
9423,870,26,5962,73,99,31,7,0,134,4.32
9424,873,31,5969,84,112,48,0,0,148,3.08
9425,876,36,5976,95,125,65,1,0,154,2.37
9426,879,41,5983,106,138,82,2,0,160,1.95
9427,882,46,5990,117,151,99,3,0,166,1.68
9428,885,51,5997,128,164,116,4,0,172,1.48
9429,888,56,6004,139,177,133,5,0,178,1.34
9430,891,61,6011,150,10,150,6,0,4,0.03
9431,894,66,6018,161,23,7,7,0,170,24.29
9432,897,71,6025,172,36,24,0,0,184,7.67
9433,900,76,6032,183,49,41,1,0,190,4.63
9434,903,81,6039,194,62,58,2,0,196,3.38
9435,906,1,6046,205,75,75,3,0,202,2.69
9436,909,6,6053,216,88,92,4,0,208,2.26
9437,912,11,6060,227,101,109,5,0,214,1.96
9438,915,16,6067,238,114,126,6,0,220,1.75
9439,918,21,6074,249,127,143,7,0,226,1.58
9440,921,26,6081,260,140,0,0,0,400,400.0
9441,924,31,6088,271,153,17,1,0,406,23.88
9442,927,36,6095,282,166,34,2,0,412,12.12
9443,930,41,6102,293,179,51,3,0,418,8.2
9444,933,46,6109,304,12,68,4,0,244,3.59
9445,936,51,6116,315,25,85,5,0,250,2.94
9446,939,56,6123,326,38,102,6,0,256,2.51
9447,942,61,6130,337,51,119,7,0,262,2.2
9448,945,66,6137,348,64,136,0,0,276,2.03
9449,948,71,6144,359,77,153,1,0,282,1.84
9450,951,76,6151,20,90,10,2,0,98,9.8
9451,954,81,6158,31,103,27,3,0,104,3.85
9452,957,1,6165,42,116,44,4,0,110,2.5
9453,960,6,6172,53,129,61,5,0,116,1.9
9454,963,11,6179,64,142,78,6,0,122,1.56
9455,966,16,6186,75,155,95,7,0,128,1.35
9456,969,21,6193,86,168,112,0,0,142,1.27
9457,972,26,6200,97,1,129,1,1,0,0.0
9458,975,31,6207,108,14,146,2,1,0,0.0
9459,978,36,6214,119,27,3,3,0,140,46.67
9460,981,41,6221,130,40,20,4,0,146,7.3
9461,984,46,6228,141,53,37,5,0,152,4.11
9462,987,51,6235,152,66,54,6,0,158,2.93
9463,990,56,6242,163,79,71,7,0,164,2.31
9464,993,61,6249,174,92,88,0,0,178,2.02
9465,996,66,6256,185,105,105,1,0,184,1.75
9466,999,71,6263,196,118,122,2,0,190,1.56
9467,1002,76,6270,207,131,139,3,0,196,1.41
9468,1005,81,6277,218,144,156,4,0,202,1.29
9469,1008,1,6284,229,157,13,5,0,368,28.31
9470,1011,6,6291,240,170,30,6,0,374,12.47
9471,1014,11,6298,251,3,47,7,0,200,4.26
